ensembl_gene_id,symbol,chromosome,biotype
ENSG00000000001,symbol_1,chromosome_1,biotype_1
ENSG00000000002,symbol_2,chromosome_2,biotype_2
ENSG00000000003,symbol_3,chromosome_3,biotype_3
ENSG00000000004,symbol_4,chromosome_4,biotype_4
ENSG00000000005,symbol_5,chromosome_5,biotype_5
ENSG00000000006,symbol_6,chromosome_6,biotype_6
ENSG00000000007,symbol_7,chromosome_7,biotype_7
ENSG00000000008,symbol_8,chromosome_8,biotype_8
ENSG00000000009,symbol_9,chromosome_9,biotype_9
ENSG00000000010,symbol_10,chromosome_10,biotype_10
ENSG00000000011,symbol_11,chromosome_11,biotype_11
ENSG00000000012,symbol_12,chromosome_12,biotype_12
ENSG00000000013,symbol_13,chromosome_13,biotype_13
ENSG00000000014,symbol_14,chromosome_14,biotype_14
ENSG00000000015,symbol_15,chromosome_15,biotype_15
ENSG00000000016,symbol_16,chromosome_16,biotype_16
ENSG00000000017,symbol_17,chromosome_17,biotype_17
ENSG00000000018,symbol_18,chromosome_18,biotype_18
ENSG00000000019,symbol_19,chromosome_19,biotype_19
ENSG00000000020,symbol_20,chromosome_20,biotype_20
ENSG00000000021,symbol_21,chromosome_21,biotype_21
ENSG00000000022,symbol_22,chromosome_22,biotype_22
ENSG00000000023,symbol_23,chromosome_23,biotype_23
ENSG00000000024,symbol_24,chromosome_24,biotype_24
ENSG00000000025,symbol_25,chromosome_25,biotype_25
ENSG00000000026,symbol_26,chromosome_26,biotype_26
ENSG00000000027,symbol_27,chromosome_27,biotype_27
ENSG00000000028,symbol_28,chromosome_28,biotype_28
ENSG00000000029,symbol_29,chromosome_29,biotype_29
ENSG00000000030,symbol_30,chromosome_30,biotype_30
