pmid,title,journal,year
30000001,title_1,journal_1,2662
30000002,title_2,journal_2,1530
30000003,title_3,journal_3,1795
30000004,title_4,journal_4,2120
30000005,title_5,journal_5,1850
30000006,title_6,journal_6,496
30000007,title_7,journal_7,1016
30000008,title_8,journal_8,921
30000009,title_9,journal_9,263
30000010,title_10,journal_10,1385
30000011,title_11,journal_11,87
30000012,title_12,journal_12,2410
30000013,title_13,journal_13,2269
30000014,title_14,journal_14,943
30000015,title_15,journal_15,2411
30000016,title_16,journal_16,903
30000017,title_17,journal_17,30
30000018,title_18,journal_18,291
30000019,title_19,journal_19,2900
30000020,title_20,journal_20,2585
30000021,title_21,journal_21,242
30000022,title_22,journal_22,938
30000023,title_23,journal_23,277
30000024,title_24,journal_24,129
30000025,title_25,journal_25,1354
30000026,title_26,journal_26,291
30000027,title_27,journal_27,2106
30000028,title_28,journal_28,975
30000029,title_29,journal_29,1141
30000030,title_30,journal_30,2741
