mondo_id,name,icd10_code
MONDO:0000001,name_1,N18
MONDO:0000002,name_2,G20
MONDO:0000003,name_3,C50
MONDO:0000004,name_4,E11
MONDO:0000005,name_5,G20
MONDO:0000006,name_6,J45
MONDO:0000007,name_7,C50
MONDO:0000008,name_8,G20
MONDO:0000009,name_9,C50
MONDO:0000010,name_10,F32
MONDO:0000011,name_11,J45
MONDO:0000012,name_12,M06
MONDO:0000013,name_13,N18
MONDO:0000014,name_14,I21
MONDO:0000015,name_15,N18
MONDO:0000016,name_16,N18
MONDO:0000017,name_17,G20
MONDO:0000018,name_18,J45
MONDO:0000019,name_19,C50
MONDO:0000020,name_20,I21
MONDO:0000021,name_21,K21
MONDO:0000022,name_22,G20
MONDO:0000023,name_23,I21
MONDO:0000024,name_24,M06
MONDO:0000025,name_25,F32
MONDO:0000026,name_26,J45
MONDO:0000027,name_27,K21
MONDO:0000028,name_28,G20
MONDO:0000029,name_29,N18
MONDO:0000030,name_30,E11
