cellosaurus_id,name,organism
CVCL_0001,name_1,organism_1
CVCL_0002,name_2,organism_2
CVCL_0003,name_3,organism_3
CVCL_0004,name_4,organism_4
CVCL_0005,name_5,organism_5
CVCL_0006,name_6,organism_6
CVCL_0007,name_7,organism_7
CVCL_0008,name_8,organism_8
CVCL_0009,name_9,organism_9
CVCL_0010,name_10,organism_10
CVCL_0011,name_11,organism_11
CVCL_0012,name_12,organism_12
CVCL_0013,name_13,organism_13
CVCL_0014,name_14,organism_14
CVCL_0015,name_15,organism_15
CVCL_0016,name_16,organism_16
CVCL_0017,name_17,organism_17
CVCL_0018,name_18,organism_18
CVCL_0019,name_19,organism_19
CVCL_0020,name_20,organism_20
CVCL_0021,name_21,organism_21
CVCL_0022,name_22,organism_22
CVCL_0023,name_23,organism_23
CVCL_0024,name_24,organism_24
CVCL_0025,name_25,organism_25
CVCL_0026,name_26,organism_26
CVCL_0027,name_27,organism_27
CVCL_0028,name_28,organism_28
CVCL_0029,name_29,organism_29
CVCL_0030,name_30,organism_30
