nct_id,title,phase,status
NCT00000001,title_1,phase_1,status_1
NCT00000002,title_2,phase_2,status_2
NCT00000003,title_3,phase_3,status_3
NCT00000004,title_4,phase_4,status_4
NCT00000005,title_5,phase_5,status_5
NCT00000006,title_6,phase_6,status_6
NCT00000007,title_7,phase_7,status_7
NCT00000008,title_8,phase_8,status_8
NCT00000009,title_9,phase_9,status_9
NCT00000010,title_10,phase_10,status_10
NCT00000011,title_11,phase_11,status_11
NCT00000012,title_12,phase_12,status_12
NCT00000013,title_13,phase_13,status_13
NCT00000014,title_14,phase_14,status_14
NCT00000015,title_15,phase_15,status_15
NCT00000016,title_16,phase_16,status_16
NCT00000017,title_17,phase_17,status_17
NCT00000018,title_18,phase_18,status_18
NCT00000019,title_19,phase_19,status_19
NCT00000020,title_20,phase_20,status_20
NCT00000021,title_21,phase_21,status_21
NCT00000022,title_22,phase_22,status_22
NCT00000023,title_23,phase_23,status_23
NCT00000024,title_24,phase_24,status_24
NCT00000025,title_25,phase_25,status_25
NCT00000026,title_26,phase_26,status_26
NCT00000027,title_27,phase_27,status_27
NCT00000028,title_28,phase_28,status_28
NCT00000029,title_29,phase_29,status_29
NCT00000030,title_30,phase_30,status_30
