compound_id,smiles,molecular_weight
CMPD000001,smiles_1,53.889
CMPD000002,smiles_2,77.787
CMPD000003,smiles_3,52.987
CMPD000004,smiles_4,0.067
CMPD000005,smiles_5,32.39
CMPD000006,smiles_6,1.956
CMPD000007,smiles_7,92.818
CMPD000008,smiles_8,87.786
CMPD000009,smiles_9,83.085
CMPD000010,smiles_10,30.728
CMPD000011,smiles_11,5.796
CMPD000012,smiles_12,87.714
CMPD000013,smiles_13,94.601
CMPD000014,smiles_14,8.566
CMPD000015,smiles_15,48.556
CMPD000016,smiles_16,6.924
CMPD000017,smiles_17,75.987
CMPD000018,smiles_18,76.509
CMPD000019,smiles_19,12.835
CMPD000020,smiles_20,47.486
CMPD000021,smiles_21,54.93
CMPD000022,smiles_22,26.487
CMPD000023,smiles_23,87.157
CMPD000024,smiles_24,42.277
CMPD000025,smiles_25,21.167
CMPD000026,smiles_26,53.88
CMPD000027,smiles_27,72.923
CMPD000028,smiles_28,20.103
CMPD000029,smiles_29,31.147
CMPD000030,smiles_30,99.415
