uniprot_id,name,length_aa
P00001,name_1,2620
P00002,name_2,457
P00003,name_3,103
P00004,name_4,1127
P00005,name_5,1004
P00006,name_6,915
P00007,name_7,572
P00008,name_8,420
P00009,name_9,2772
P00010,name_10,2234
P00011,name_11,357
P00012,name_12,2419
P00013,name_13,1729
P00014,name_14,131
P00015,name_15,123
P00016,name_16,384
P00017,name_17,896
P00018,name_18,953
P00019,name_19,2070
P00020,name_20,2466
P00021,name_21,109
P00022,name_22,2299
P00023,name_23,815
P00024,name_24,2933
P00025,name_25,2662
P00026,name_26,2873
P00027,name_27,2233
P00028,name_28,1719
P00029,name_29,903
P00030,name_30,1840
