antibody_id,name,clonality
AB000001,name_1,clonality_1
AB000002,name_2,clonality_2
AB000003,name_3,clonality_3
AB000004,name_4,clonality_4
AB000005,name_5,clonality_5
AB000006,name_6,clonality_6
AB000007,name_7,clonality_7
AB000008,name_8,clonality_8
AB000009,name_9,clonality_9
AB000010,name_10,clonality_10
AB000011,name_11,clonality_11
AB000012,name_12,clonality_12
AB000013,name_13,clonality_13
AB000014,name_14,clonality_14
AB000015,name_15,clonality_15
AB000016,name_16,clonality_16
AB000017,name_17,clonality_17
AB000018,name_18,clonality_18
AB000019,name_19,clonality_19
AB000020,name_20,clonality_20
AB000021,name_21,clonality_21
AB000022,name_22,clonality_22
AB000023,name_23,clonality_23
AB000024,name_24,clonality_24
AB000025,name_25,clonality_25
AB000026,name_26,clonality_26
AB000027,name_27,clonality_27
AB000028,name_28,clonality_28
AB000029,name_29,clonality_29
AB000030,name_30,clonality_30
