chembl_id,name,mechanism,max_phase
CHEMBL1001,name_1,mechanism_1,939
CHEMBL1002,name_2,mechanism_2,132
CHEMBL1003,name_3,mechanism_3,1293
CHEMBL1004,name_4,mechanism_4,1644
CHEMBL1005,name_5,mechanism_5,1097
CHEMBL1006,name_6,mechanism_6,272
CHEMBL1007,name_7,mechanism_7,865
CHEMBL1008,name_8,mechanism_8,2324
CHEMBL1009,name_9,mechanism_9,2941
CHEMBL1010,name_10,mechanism_10,1289
CHEMBL1011,name_11,mechanism_11,871
CHEMBL1012,name_12,mechanism_12,2685
CHEMBL1013,name_13,mechanism_13,2045
CHEMBL1014,name_14,mechanism_14,1621
CHEMBL1015,name_15,mechanism_15,2634
CHEMBL1016,name_16,mechanism_16,1880
CHEMBL1017,name_17,mechanism_17,586
CHEMBL1018,name_18,mechanism_18,1085
CHEMBL1019,name_19,mechanism_19,572
CHEMBL1020,name_20,mechanism_20,1011
CHEMBL1021,name_21,mechanism_21,2300
CHEMBL1022,name_22,mechanism_22,2208
CHEMBL1023,name_23,mechanism_23,1077
CHEMBL1024,name_24,mechanism_24,2395
CHEMBL1025,name_25,mechanism_25,1755
CHEMBL1026,name_26,mechanism_26,2391
CHEMBL1027,name_27,mechanism_27,1636
CHEMBL1028,name_28,mechanism_28,1483
CHEMBL1029,name_29,mechanism_29,899
CHEMBL1030,name_30,mechanism_30,567
