target_id,target_type,tractability
ENSG_TARGET_1,target_type_1,tractability_1
ENSG_TARGET_2,target_type_2,tractability_2
ENSG_TARGET_3,target_type_3,tractability_3
ENSG_TARGET_4,target_type_4,tractability_4
ENSG_TARGET_5,target_type_5,tractability_5
ENSG_TARGET_6,target_type_6,tractability_6
ENSG_TARGET_7,target_type_7,tractability_7
ENSG_TARGET_8,target_type_8,tractability_8
ENSG_TARGET_9,target_type_9,tractability_9
ENSG_TARGET_10,target_type_10,tractability_10
ENSG_TARGET_11,target_type_11,tractability_11
ENSG_TARGET_12,target_type_12,tractability_12
ENSG_TARGET_13,target_type_13,tractability_13
ENSG_TARGET_14,target_type_14,tractability_14
ENSG_TARGET_15,target_type_15,tractability_15
ENSG_TARGET_16,target_type_16,tractability_16
ENSG_TARGET_17,target_type_17,tractability_17
ENSG_TARGET_18,target_type_18,tractability_18
ENSG_TARGET_19,target_type_19,tractability_19
ENSG_TARGET_20,target_type_20,tractability_20
ENSG_TARGET_21,target_type_21,tractability_21
ENSG_TARGET_22,target_type_22,tractability_22
ENSG_TARGET_23,target_type_23,tractability_23
ENSG_TARGET_24,target_type_24,tractability_24
ENSG_TARGET_25,target_type_25,tractability_25
ENSG_TARGET_26,target_type_26,tractability_26
ENSG_TARGET_27,target_type_27,tractability_27
ENSG_TARGET_28,target_type_28,tractability_28
ENSG_TARGET_29,target_type_29,tractability_29
ENSG_TARGET_30,target_type_30,tractability_30
