assay_id,name,assay_type
CHEMBL_ASSAY_1,name_1,assay_type_1
CHEMBL_ASSAY_2,name_2,assay_type_2
CHEMBL_ASSAY_3,name_3,assay_type_3
CHEMBL_ASSAY_4,name_4,assay_type_4
CHEMBL_ASSAY_5,name_5,assay_type_5
CHEMBL_ASSAY_6,name_6,assay_type_6
CHEMBL_ASSAY_7,name_7,assay_type_7
CHEMBL_ASSAY_8,name_8,assay_type_8
CHEMBL_ASSAY_9,name_9,assay_type_9
CHEMBL_ASSAY_10,name_10,assay_type_10
CHEMBL_ASSAY_11,name_11,assay_type_11
CHEMBL_ASSAY_12,name_12,assay_type_12
CHEMBL_ASSAY_13,name_13,assay_type_13
CHEMBL_ASSAY_14,name_14,assay_type_14
CHEMBL_ASSAY_15,name_15,assay_type_15
CHEMBL_ASSAY_16,name_16,assay_type_16
CHEMBL_ASSAY_17,name_17,assay_type_17
CHEMBL_ASSAY_18,name_18,assay_type_18
CHEMBL_ASSAY_19,name_19,assay_type_19
CHEMBL_ASSAY_20,name_20,assay_type_20
CHEMBL_ASSAY_21,name_21,assay_type_21
CHEMBL_ASSAY_22,name_22,assay_type_22
CHEMBL_ASSAY_23,name_23,assay_type_23
CHEMBL_ASSAY_24,name_24,assay_type_24
CHEMBL_ASSAY_25,name_25,assay_type_25
CHEMBL_ASSAY_26,name_26,assay_type_26
CHEMBL_ASSAY_27,name_27,assay_type_27
CHEMBL_ASSAY_28,name_28,assay_type_28
CHEMBL_ASSAY_29,name_29,assay_type_29
CHEMBL_ASSAY_30,name_30,assay_type_30
