indication_id,mondo_id,name
IND000001,mondo_id_1,name_1
IND000002,mondo_id_2,name_2
IND000003,mondo_id_3,name_3
IND000004,mondo_id_4,name_4
IND000005,mondo_id_5,name_5
IND000006,mondo_id_6,name_6
IND000007,mondo_id_7,name_7
IND000008,mondo_id_8,name_8
IND000009,mondo_id_9,name_9
IND000010,mondo_id_10,name_10
IND000011,mondo_id_11,name_11
IND000012,mondo_id_12,name_12
IND000013,mondo_id_13,name_13
IND000014,mondo_id_14,name_14
IND000015,mondo_id_15,name_15
IND000016,mondo_id_16,name_16
IND000017,mondo_id_17,name_17
IND000018,mondo_id_18,name_18
IND000019,mondo_id_19,name_19
IND000020,mondo_id_20,name_20
IND000021,mondo_id_21,name_21
IND000022,mondo_id_22,name_22
IND000023,mondo_id_23,name_23
IND000024,mondo_id_24,name_24
IND000025,mondo_id_25,name_25
IND000026,mondo_id_26,name_26
IND000027,mondo_id_27,name_27
IND000028,mondo_id_28,name_28
IND000029,mondo_id_29,name_29
IND000030,mondo_id_30,name_30
