taxon_id,name,common_name
9601,name_1,zebrafish
9602,name_2,human
9603,name_3,human
9604,name_4,human
9605,name_5,mouse
9606,name_6,mouse
9607,name_7,zebrafish
9608,name_8,human
9609,name_9,zebrafish
9610,name_10,zebrafish
9611,name_11,zebrafish
9612,name_12,rat
9613,name_13,human
9614,name_14,human
9615,name_15,rat
9616,name_16,rat
9617,name_17,human
9618,name_18,rat
9619,name_19,zebrafish
9620,name_20,mouse
9621,name_21,zebrafish
9622,name_22,human
9623,name_23,rat
9624,name_24,mouse
9625,name_25,human
9626,name_26,rat
9627,name_27,mouse
9628,name_28,mouse
9629,name_29,rat
9630,name_30,mouse
