dbsnp_id,consequence,clinical_significance
rs1000001,consequence_1,clinical_significance_1
rs1000002,consequence_2,clinical_significance_2
rs1000003,consequence_3,clinical_significance_3
rs1000004,consequence_4,clinical_significance_4
rs1000005,consequence_5,clinical_significance_5
rs1000006,consequence_6,clinical_significance_6
rs1000007,consequence_7,clinical_significance_7
rs1000008,consequence_8,clinical_significance_8
rs1000009,consequence_9,clinical_significance_9
rs1000010,consequence_10,clinical_significance_10
rs1000011,consequence_11,clinical_significance_11
rs1000012,consequence_12,clinical_significance_12
rs1000013,consequence_13,clinical_significance_13
rs1000014,consequence_14,clinical_significance_14
rs1000015,consequence_15,clinical_significance_15
rs1000016,consequence_16,clinical_significance_16
rs1000017,consequence_17,clinical_significance_17
rs1000018,consequence_18,clinical_significance_18
rs1000019,consequence_19,clinical_significance_19
rs1000020,consequence_20,clinical_significance_20
rs1000021,consequence_21,clinical_significance_21
rs1000022,consequence_22,clinical_significance_22
rs1000023,consequence_23,clinical_significance_23
rs1000024,consequence_24,clinical_significance_24
rs1000025,consequence_25,clinical_significance_25
rs1000026,consequence_26,clinical_significance_26
rs1000027,consequence_27,clinical_significance_27
rs1000028,consequence_28,clinical_significance_28
rs1000029,consequence_29,clinical_significance_29
rs1000030,consequence_30,clinical_significance_30
