ensembl_transcript_id,length_bp
ENST00000000001,2414
ENST00000000002,1140
ENST00000000003,27
ENST00000000004,654
ENST00000000005,2860
ENST00000000006,1732
ENST00000000007,1394
ENST00000000008,1139
ENST00000000009,637
ENST00000000010,882
ENST00000000011,1379
ENST00000000012,419
ENST00000000013,380
ENST00000000014,1557
ENST00000000015,397
ENST00000000016,1471
ENST00000000017,1409
ENST00000000018,2473
ENST00000000019,1084
ENST00000000020,178
ENST00000000021,2989
ENST00000000022,1882
ENST00000000023,2197
ENST00000000024,512
ENST00000000025,1551
ENST00000000026,323
ENST00000000027,2262
ENST00000000028,1201
ENST00000000029,2575
ENST00000000030,2534
