reactome_id,name,category
R-HSA-100001,name_1,category_1
R-HSA-100002,name_2,category_2
R-HSA-100003,name_3,category_3
R-HSA-100004,name_4,category_4
R-HSA-100005,name_5,category_5
R-HSA-100006,name_6,category_6
R-HSA-100007,name_7,category_7
R-HSA-100008,name_8,category_8
R-HSA-100009,name_9,category_9
R-HSA-100010,name_10,category_10
R-HSA-100011,name_11,category_11
R-HSA-100012,name_12,category_12
R-HSA-100013,name_13,category_13
R-HSA-100014,name_14,category_14
R-HSA-100015,name_15,category_15
R-HSA-100016,name_16,category_16
R-HSA-100017,name_17,category_17
R-HSA-100018,name_18,category_18
R-HSA-100019,name_19,category_19
R-HSA-100020,name_20,category_20
R-HSA-100021,name_21,category_21
R-HSA-100022,name_22,category_22
R-HSA-100023,name_23,category_23
R-HSA-100024,name_24,category_24
R-HSA-100025,name_25,category_25
R-HSA-100026,name_26,category_26
R-HSA-100027,name_27,category_27
R-HSA-100028,name_28,category_28
R-HSA-100029,name_29,category_29
R-HSA-100030,name_30,category_30
