biomarker_id,name,type
BM000001,name_1,type_1
BM000002,name_2,type_2
BM000003,name_3,type_3
BM000004,name_4,type_4
BM000005,name_5,type_5
BM000006,name_6,type_6
BM000007,name_7,type_7
BM000008,name_8,type_8
BM000009,name_9,type_9
BM000010,name_10,type_10
BM000011,name_11,type_11
BM000012,name_12,type_12
BM000013,name_13,type_13
BM000014,name_14,type_14
BM000015,name_15,type_15
BM000016,name_16,type_16
BM000017,name_17,type_17
BM000018,name_18,type_18
BM000019,name_19,type_19
BM000020,name_20,type_20
BM000021,name_21,type_21
BM000022,name_22,type_22
BM000023,name_23,type_23
BM000024,name_24,type_24
BM000025,name_25,type_25
BM000026,name_26,type_26
BM000027,name_27,type_27
BM000028,name_28,type_28
BM000029,name_29,type_29
BM000030,name_30,type_30
