sample_id,tissue_uberon_id,condition
GSM000001,tissue_uberon_id_1,condition_1
GSM000002,tissue_uberon_id_2,condition_2
GSM000003,tissue_uberon_id_3,condition_3
GSM000004,tissue_uberon_id_4,condition_4
GSM000005,tissue_uberon_id_5,condition_5
GSM000006,tissue_uberon_id_6,condition_6
GSM000007,tissue_uberon_id_7,condition_7
GSM000008,tissue_uberon_id_8,condition_8
GSM000009,tissue_uberon_id_9,condition_9
GSM000010,tissue_uberon_id_10,condition_10
GSM000011,tissue_uberon_id_11,condition_11
GSM000012,tissue_uberon_id_12,condition_12
GSM000013,tissue_uberon_id_13,condition_13
GSM000014,tissue_uberon_id_14,condition_14
GSM000015,tissue_uberon_id_15,condition_15
GSM000016,tissue_uberon_id_16,condition_16
GSM000017,tissue_uberon_id_17,condition_17
GSM000018,tissue_uberon_id_18,condition_18
GSM000019,tissue_uberon_id_19,condition_19
GSM000020,tissue_uberon_id_20,condition_20
GSM000021,tissue_uberon_id_21,condition_21
GSM000022,tissue_uberon_id_22,condition_22
GSM000023,tissue_uberon_id_23,condition_23
GSM000024,tissue_uberon_id_24,condition_24
GSM000025,tissue_uberon_id_25,condition_25
GSM000026,tissue_uberon_id_26,condition_26
GSM000027,tissue_uberon_id_27,condition_27
GSM000028,tissue_uberon_id_28,condition_28
GSM000029,tissue_uberon_id_29,condition_29
GSM000030,tissue_uberon_id_30,condition_30
